Name,Comment,Time,Likes,Reply Count
Technical Guruji,"Jaldi se LIKE aur SHARE kardo <a href=""http://www.youtube.com/results?search_query=%23tgfamily"">#TGFamily</a>!!!",2021-12-03T09:18:21Z,1637,310
Bikash Jyoti,Wait boys it&#39;s just a back cover 😎,2022-09-27T07:37:04Z,0,0
Tech Puneet,"<a href=""https://youtu.be/8NkUfiM8rvI"">https://youtu.be/8NkUfiM8rvI</a>",2022-09-26T17:28:09Z,0,0
Debasish vlogs,4 sa 5 thar 🤣,2022-09-26T04:18:09Z,0,0
positive energy,Logo ko attract karte hai bas ye log ... Logi ki dikha k kya karna yaar .. zamin se jude rahe .. in sab chijo me kuch nahi rakha hai .. plz ye sab dekh kar apne ko chota feel na karo aap log jo hai apke paas uski bhi koi sapne dekh raha .. happy raho ..,2022-09-25T17:41:23Z,0,0
Vlog with Anup,Bhai meko Ek gift krdo❤,2022-09-25T13:49:42Z,0,0
13 peo,2 fortuners aajati bhai 😂😂,2022-09-25T06:27:16Z,0,0
Properties in Indore,"Wow shauk badi chiz hai bhai , richness and succesd at its level best  👍🏻🙏🏻",2022-09-25T05:06:29Z,0,0
K Pratik,Maiii samaya hun..<br><br>Thn u missed tht browww.. Mahabharattt Mahabharattt 😅😝,2022-09-25T02:14:33Z,0,0
Cutie boy,Which price ???,2022-09-24T19:09:40Z,0,1
Mohammed umar,"Lol, phone looks yak",2022-09-24T18:49:03Z,0,0
Debasish Mishra,♥️♥️♥️♥️,2022-09-24T17:04:25Z,0,0
utd krishna,That the first mythology background musik samay i herad that before 7 years 😊,2022-09-24T14:54:00Z,0,0
Bhuwan Kumar,"RS 65,00000 KA PHONE he achha to lagega hi.....👍👍",2022-09-24T12:26:54Z,0,0
Bikash GAmer,Realmi c 35 dream phone,2022-09-24T09:38:12Z,0,0
Anuj bala Anuj bala,🤒🤒🤒🤒,2022-09-24T08:24:44Z,0,0
Nakul Dhingra,"Jb apke baap k pass paisa andha ho or aap itne brre walle ho jo $65k ka iPhone purchase kr k laye ho, pr ye baat aap apne papa ko nhi batana chahoge..",2022-09-24T08:09:56Z,0,0
Aditya ranjan singh,80000 $ ka h,2022-09-24T03:57:54Z,0,0
Hustle King,"You will read this comment everywhere <a href=""http://www.youtube.com/results?search_query=%23shout_out_to_rap"">#shout_out_to_rap</a>",2022-09-23T16:13:42Z,0,0
S.S,Bhai ye sare chocle dubai mai rehne de...,2022-09-23T14:57:46Z,0,0
Samarth Sneh,Hum bhaiya kechaoda wale hai ji,2022-09-22T20:07:48Z,0,0
Ni Han,❤️❤️❤️❤️,2022-09-22T19:40:04Z,0,0
benny barolia,Sir ek baat kehena chahunga ki humm log isse kese ear per laga sakte hain kyonki isme toh duniya ka ek hi piece haina ?,2022-09-22T12:11:28Z,0,0
GAMING JUNCTION 11,Bhaiya jee apna phone meko de dijie aap 😋😛😗<br><br><br><br><br><br><br><br><br>......<br><br>...<br><br>Kesa laga mera majak 😅🤗😎,2022-09-22T05:59:28Z,0,0
FF Ka Diwana,Phone give away band kar diye kya,2022-09-22T05:32:42Z,0,0
ROYAL GAMING 96,Bhai iphone 14 aye ga toh bhai ye phone bekar ho jaigs bud congrats,2022-09-22T05:16:05Z,0,0
muzammil baig,Bhut zada accha lg rha hi iPhone bhai,2022-09-22T05:04:10Z,0,0
muzammil baig,Bhai price to bta do,2022-09-22T05:03:24Z,0,0
vishal chemjong,Bishal say the time is terueeee time is truth ....<br>Bibek heart is pure heart<br>Anjana Didi KO chie holy 💖;;;;;;;;<br>Bibek booookaaaaaaa prown star saulin body!,2022-09-21T20:09:09Z,0,0
vishal chemjong,Bishal dream iPhone 125 cavier design in universvaliallils technology bibek imbresss ma dinnna,2022-09-21T20:07:33Z,0,0
ATV Productions,"<a href=""https://www.youtube.com/watch?v=_xzA-_L0zK4&amp;t=9m26s"">9:26</a> Hamare paas hona bhi to chahiye guruji",2022-09-21T19:13:52Z,0,0
FIRE MAX,Sir mujhe bhi dilado main bahut garib hun,2022-09-21T15:45:12Z,0,0
Vivek Kishan,"Jeera rice , chole etc 😂",2022-09-21T12:11:53Z,0,0
Vivek Kishan,Guruji they just put there poop particles in your phone 😂😂,2022-09-21T12:11:02Z,0,0
MewGuy,80000 ke jutey nahi<br>Ye iPhone me Ghar jayega 🤣,2022-09-21T09:30:16Z,0,0
Sankalp Soni,Bhai pro max kyo nahi liya,2022-09-21T09:16:58Z,0,0
Yash Chaudhary,Agr ye phone chori ho gaya to,2022-09-21T06:19:47Z,0,0
MCU  1.4.3,Guruji appkke pass toh itna kimti phone heiii aye gold edition bala toh app ka jo normal iphone 13 pro max hei usko app kya karo ge mujhe de do guruji mei app ka bohot bara fan hunn.....<br><br>Pehle vhi meyne apka give away participate kye tha par khavhi mera luck mera sath nehi dea iisss bar luck nehi guruji sath de dea j....plz🙏,2022-09-21T04:10:16Z,0,0
Sayed Asad,64L 😮😮😮😮,2022-09-20T18:19:41Z,0,0
Kamlesh Dewangan,"64,00,000 ka mobile 🧐🧐🧐",2022-09-20T14:45:51Z,1,0
Atanki Londa,Nice,2022-09-20T13:39:13Z,0,0
SAURAV CHAUDHARY,Dedo sir ji 14,2022-09-20T13:22:57Z,0,0
Ken wants coffee,Garibo ko Dan Kar deta,2022-09-20T09:20:38Z,0,0
Rahul Sah,Paisa hai brother Paisa🤣🤣🤣🤣,2022-09-20T06:44:52Z,0,0
dev chaudhary,Nice,2022-09-20T01:17:00Z,0,0
Nobita gaming,Love,2022-09-19T21:32:13Z,0,0
Sahil Saini,Premium iphone,2022-09-19T16:14:40Z,1,0
Dark Phoenix,"charging kitni pita hoga <br><a href=""about:invalid#zCSafez""></a>",2022-09-19T16:05:54Z,0,0
CHOCOLATE TY👽,Koi price bta doo yaar,2022-09-19T14:17:13Z,0,1
Arjun Bro,Nice sir,2022-09-19T13:10:10Z,0,0
SALMAN KHAN,65 lakh,2022-09-19T11:09:44Z,0,0
MAJOR,Rich people,2022-09-19T09:58:53Z,0,0
Spruha ghat Konkan,Sub TEC se khubsurat aapki videos rehati hai.,2022-09-19T09:21:32Z,0,0
Jiboner Diary- জীবনের ডায়েরী,Its only 64 lacs iphone😂😂😂,2022-09-19T07:15:38Z,0,1
wonderful facts,Tum log youtuber nhi lotere ho logon ko chutya bnakr subscriber badhate ho,2022-09-19T05:59:42Z,0,2
Durgesh,I know 64 lac ka hai 😂😂,2022-09-19T04:55:18Z,0,0
Dayanti saini,Same here;dadi dadi b yaad aa gye sath m hi unke sath dekha krte the mahabharat💞,2022-09-19T04:24:16Z,0,0
GkCrazy 2.0,"You may have been brought up in poverty, but the old age of your parents ️❤️ should pass in the rich, it is your responsibility.",2022-09-19T00:20:28Z,0,0
praveen kumar,Faltu ka bc jhandu paisa waste😮,2022-09-18T21:30:45Z,1,0
Yasir HUSSAIN,"apple new phone k saath Charger kyun nai deta.. kabi is pr bi video banao. mana k apple k product bohut achey hen , lekin we should protect against apple.. bs krdo apple ko chatna . plz",2022-09-18T20:23:05Z,0,0
TC_RAZA_ˣ‿ˣ,bhai plase dedo,2022-09-18T09:15:39Z,0,0
Rohan Pawar,Sir apka nam technical guruji se expensive guruji rakh lo suitable hai 😅😅,2022-09-18T08:59:10Z,2,0
Pratapbhai Chaudhari,Sir ab naya intro lagaye na,2022-09-18T07:46:04Z,0,0
Saad.ly03😎,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,2022-09-18T06:56:22Z,0,0
Saad.ly03😎,Nice ❤❤,2022-09-18T06:56:03Z,0,0
SS20ME028 Padmere,Mechanism clock in i phone wonderful in best idea,2022-09-18T06:04:15Z,0,0
munna mistri,chutiya kyu kaatte ho bhai<br>16 17 lakh ka phn ko 65 lakh baya diya tune,2022-09-18T03:58:52Z,0,0
Asish Biswas,"<a href=""https://youtube.com/c/GoldenTVFunnyBanglaComedyVideos"">https://youtube.com/c/GoldenTVFunnyBanglaComedyVideos</a>",2022-09-18T02:42:40Z,0,0
Ayush1511,"For those who don&#39;t know the price <br>It&#39;s cost is 80,000 $ that is almost 64,00,000 Rs",2022-09-17T19:40:36Z,1,2
Feel awesome,Jb ek hi h to hame kyu bta rhe ki aise baat karenge call pr to richness wali feeling dega,2022-09-17T14:29:53Z,0,0
ChanduYT,Sir muke do i have no many,2022-09-17T14:02:24Z,0,0
Sunday facts,"Price is 16,780$",2022-09-17T13:58:53Z,0,0
M_P EDIT'Z,"<a href=""https://youtube.com/shorts/dFnPtn8cfQA?feature=share"">https://youtube.com/shorts/dFnPtn8cfQA?feature=share</a>",2022-09-17T13:16:17Z,0,0
lucky rihan 04,Bhaii ek phone idar bi doooo plzzzzzzzz,2022-09-17T08:50:22Z,0,0
Technical Ranaji,Sir I am big fan of you 🙏<br><br>I have seen all your videos and you do enboxing of very beautiful phones. so give me an iphone. Please sir please give me a iPhone 🙏🙏,2022-09-17T05:00:34Z,0,0
Technical Ranaji,Sir I am big fan of you 🙏<br><br>I have seen all your videos and you do enboxing of very beautiful phones. so give me an iphone. Please sir please give me a iPhone,2022-09-17T05:00:23Z,0,0
Technical Ranaji,Sir I am big fan of you 🙏<br>I have seen all your videos and you do enboxing of very beautiful phones. so give me an iphone. Please sir please give me a iPhone 🙏🙏🙏🙏🙏,2022-09-17T04:59:33Z,0,0
Technical Ranaji,Sir I am big fan of you 🙏,2022-09-17T04:59:15Z,0,0
Sawalpatel,Osm,2022-09-17T03:52:22Z,0,0
Sawalpatel,Superb,2022-09-17T03:52:18Z,0,0
Sawalpatel,Hi,2022-09-17T03:52:08Z,0,0
Arman Khan,Mujhe dedo,2022-09-16T21:31:26Z,0,0
World facts,Garib bahot hai desh me unki madat karo faltu paise west karne se acha hai,2022-09-16T19:44:56Z,0,0
pulkit kumar,Fortuner le lo isse badhia 😂😂😂😂😂😂,2022-09-16T19:14:56Z,0,0
Dudehurry,Iska cover konsa hai?,2022-09-16T18:42:59Z,0,0
Aman Pandey,Bahut bahut sundar hai <br>       Jai Hind 🇮🇳,2022-09-16T17:05:56Z,0,0
Rahul deshwal,Delhi Mt ana pH le kr 😂,2022-09-16T15:36:58Z,0,0
Natasha Romanoff,Sir giveaway nhi kroge iska?btw merko ye mila toh mai ispe cover daalke use krunga😂😂,2022-09-16T15:32:52Z,0,0
Kunal Gupta,"This phone is approx 80,000$ i.e. approximately 64 lakh Indian rupees.   This data was told by him in a video with Sandeep Maheshwari. You all can watch it from Sandeep sir&#39;s channel.",2022-09-16T13:33:15Z,4,1
kailash sherawat,JAAT😇😇,2022-09-16T12:47:36Z,1,0
raman,Bhaiya mujhe ek phone de skte h kya aap apke pass to itne phone h koi b phone chlega bs chl jaye ek saal km se km phone tut chuka h mere pass kuch rupay h me apko de skta hoo,2022-09-16T11:59:57Z,0,0
Raj Anand,इसके अपने भी दुःख हैं गौरव 🤣😄,2022-09-16T11:56:07Z,0,0
Jayesh Shahu,❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥😱😱😱😱😱😱😱😱😱😱,2022-09-16T11:39:24Z,0,0
AJAY Dancer,Cover is more expensive than phone 🌚,2022-09-16T10:59:42Z,0,0
Mohd Fareed,Bs inke paas yahi hai,2022-09-16T10:29:51Z,0,0
Killer s.s.s.,technical guruji ♥,2022-09-16T05:12:05Z,0,0
Zeeshan Arif,Habibi Come to Karachi😂,2022-09-15T18:14:40Z,0,0
Nilesh Drishti,"Jaldi se like aur share kar do <a href=""http://www.youtube.com/results?search_query=%23tgfamily"">#TGfamily</a>!!!",2022-09-15T17:19:33Z,1,0
Sakib Shaikh,Ameeri dekhrahe ho bande ki,2022-09-15T14:59:54Z,0,0
